0479,PSM_SETFINISHTEXTW
0479,WM_CAP_FILE_GET_CAPTURE_FILEW
047a,EM_GETIMECOMPMODE
047b,EM_FINDTEXTW
047b,MCIWNDM_PLAYTO
047b,WM_CAP_FILE_SAVEASW
047c,EM_FINDTEXTEXW
047c,MCIWNDM_GETFILENAMEA
047d,EM_RECONVERSION
047d,MCIWNDM_GETDEVICEA
047d,PSM_SETHEADERTITLEA
047d,WM_CAP_FILE_SAVEDIBW
047e,EM_SETIMEMODEBIAS
047e,MCIWNDM_GETPALETTE
047e,PSM_SETHEADERTITLEW
047f,EM_GETIMEMODEBIAS
047f,MCIWNDM_SETPALETTE
047f,PSM_SETHEADERSUBTITLEA
0480,MCIWNDM_GETERRORA
0480,PSM_SETHEADERSUBTITLEW
0481,PSM_HWNDTOINDEX
0482,PSM_INDEXTOHWND
0483,MCIWNDM_SETINACTIVETIMER
0483,PSM_PAGETOINDEX
0484,PSM_INDEXTOPAGE
0485,DL_BEGINDRAG
0485,MCIWNDM_GETINACTIVETIMER
0485,PSM_IDTOINDEX
0486,DL_DRAGGING
0486,PSM_INDEXTOID
0487,DL_DROPPED
0487,PSM_GETRESULT
0488,DL_CANCELDRAG
0488,PSM_RECALCPAGESIZES
048c,MCIWNDM_GET_SOURCE
048d,MCIWNDM_PUT_SOURCE
048e,MCIWNDM_GET_DEST
048f,MCIWNDM_PUT_DEST
0490,MCIWNDM_CAN_PLAY
0491,MCIWNDM_CAN_WINDOW
0492,MCIWNDM_CAN_RECORD
0493,MCIWNDM_CAN_SAVE
0494,MCIWNDM_CAN_EJECT
0495,MCIWNDM_CAN_CONFIG
0496,IE_GETINK
0496,IE_MSGFIRST
0496,MCIWNDM_PALETTEKICK
0497,IE_SETINK
0498,IE_GETPENTIP
0499,IE_SETPENTIP
049a,IE_GETERASERTIP
049b,IE_SETERASERTIP
049c,IE_GETBKGND
049d,IE_SETBKGND
049e,IE_GETGRIDORIGIN
049f,IE_SETGRIDORIGIN
04a0,IE_GETGRIDPEN
04a1,IE_SETGRIDPEN
04a2,IE_GETGRIDSIZE
04a3,IE_SETGRIDSIZE
04a4,IE_GETMODE
04a5,IE_SETMODE
04a6,IE_GETINKRECT
04a6,WM_CAP_SET_MCI_DEVICEW
04a7,WM_CAP_GET_MCI_DEVICEW
04b4,WM_CAP_PAL_OPENW
04b5,WM_CAP_PAL_SAVEW
04b8,IE_GETAPPDATA
04b9,IE_SETAPPDATA
04ba,IE_GETDRAWOPTS
04bb,IE_SETDRAWOPTS
04bc,IE_GETFORMAT
04bd,IE_SETFORMAT
04be,IE_GETINKINPUT
04bf,IE_SETINKINPUT
04c0,IE_GETNOTIFY
04c1,IE_SETNOTIFY
04c2,IE_GETRECOG
04c3,IE_SETRECOG
04c4,IE_GETSECURITY
04c5,IE_SETSECURITY
04c6,IE_GETSEL
04c7,IE_SETSEL
04c8,CDM_LAST
04c8,EM_SETBIDIOPTIONS
04c8,IE_DOCOMMAND
04c8,MCIWNDM_NOTIFYMODE
04c9,EM_GETBIDIOPTIONS
04c9,IE_GETCOMMAND
04ca,EM_SETTYPOGRAPHYOPTIONS
04ca,IE_GETCOUNT
04cb,EM_GETTYPOGRAPHYOPTIONS
04cb,IE_GETGESTURE
04cb,MCIWNDM_NOTIFYMEDIA
04cc,EM_SETEDITSTYLE
04cc,IE_GETMENU
04cd,EM_GETEDITSTYLE
04cd,IE_GETPAINTDC
04cd,MCIWNDM_NOTIFYERROR
04ce,IE_GETPDEVENT
04cf,IE_GETSELCOUNT
04d0,IE_GETSELITEMS
04d1,IE_GETSTYLE
04db,MCIWNDM_SETTIMEFORMATW
04dc,EM_OUTLINE
04dc,MCIWNDM_GETTIMEFORMATW
04dd,EM_GETSCROLLPOS
04de,EM_SETSCROLLPOS
04de,EM_SETSCROLLPOS
04df,EM_SETFONTSIZE
04e0,EM_GETZOOM
04e0,MCIWNDM_GETFILENAMEW
04e1,EM_SETZOOM
04e1,MCIWNDM_GETDEVICEW
04e2,EM_GETVIEWKIND
04e3,EM_SETVIEWKIND
04e4,EM_GETPAGE
04e4,MCIWNDM_GETERRORW
04e5,EM_SETPAGE
04e6,EM_GETHYPHENATEINFO
04e7,EM_SETHYPHENATEINFO
04eb,EM_GETPAGEROTATE
04ec,EM_SETPAGEROTATE
04ed,EM_GETCTFMODEBIAS
04ee,EM_SETCTFMODEBIAS
04f0,EM_GETCTFOPENSTATUS
04f1,EM_SETCTFOPENSTATUS
04f2,EM_GETIMECOMPTEXT
04f3,EM_ISIME
04f4,EM_GETIMEPROPERTY
050d,EM_GETQUERYRTFOBJ
050e,EM_SETQUERYRTFOBJ
0600,FM_GETFOCUS
0601,FM_GETDRIVEINFOA
0602,FM_GETSELCOUNT
0603,FM_GETSELCOUNTLFN
0604,FM_GETFILESELA
0605,FM_GETFILESELLFNA
0606,FM_REFRESH_WINDOWS
0607,FM_RELOAD_EXTENSIONS
0611,FM_GETDRIVEINFOW
0614,FM_GETFILESELW
0615,FM_GETFILESELLFNW
0659,WLX_WM_SAS
07e8,SM_GETSELCOUNT
07e8,UM_GETSELCOUNT
07e8,WM_CPL_LAUNCH
07e9,SM_GETSERVERSELA
07e9,UM_GETUSERSELA
07e9,WM_CPL_LAUNCHED
07ea,SM_GETSERVERSELW
07ea,UM_GETUSERSELW
07eb,SM_GETCURFOCUSA
07eb,UM_GETGROUPSELA
07ec,SM_GETCURFOCUSW
07ec,UM_GETGROUPSELW
07ed,SM_GETOPTIONS
07ed,UM_GETCURFOCUSA
07ee,UM_GETCURFOCUSW
07ef,UM_GETOPTIONS
